geo_accession,hsa-miR-1307-3p,hsa-miR-4783-3p,hsa-miR-8073,hsa-miR-4532,hsa-miR-6787-5p,hsa-miR-6861-5p,hsa-miR-1233-5p,hsa-miR-4675,hsa-miR-92a-2-5p,hsa-miR-6756-5p,hsa-miR-1228-5p,hsa-miR-6766-5p,hsa-miR-4758-5p,hsa-miR-6802-5p,hsa-miR-6769a-5p,hsa-miR-4419b,hsa-miR-6784-5p,hsa-miR-4428,hsa-miR-342-5p,hsa-miR-885-3p,hsa-miR-8059,hsa-miR-1238-5p,hsa-miR-3156-5p,hsa-miR-4727-3p,hsa-miR-663a,hsa-miR-320a,hsa-miR-191-5p,hsa-miR-4646-5p,hsa-miR-1246,hsa-miR-4299,hsa-miR-4515,hsa-miR-197-5p,hsa-miR-6073,hsa-miR-4730,hsa-miR-6717-5p,hsa-miR-614,hsa-miR-6816-5p,hsa-miR-6858-5p,hsa-miR-211-3p,hsa-miR-6131,hsa-miR-6887-5p,hsa-miR-3682-3p,hsa-miR-6839-5p,hsa-miR-23b-3p,hsa-miR-642b-3p,hsa-miR-320b,hsa-miR-130a-3p,hsa-miR-103a-3p,hsa-miR-107,hsa-miR-6822-5p,hsa-miR-654-5p,hsa-miR-4498,hsa-miR-4514,hsa-miR-4734,hsa-miR-4261,hsa-miR-17-3p,hsa-miR-6729-5p,hsa-miR-4317,hsa-miR-3652,hsa-miR-4732-5p,hsa-miR-146a-5p,hsa-miR-6757-5p,hsa-miR-320e,hsa-miR-4489,hsa-miR-7847-3p,hsa-miR-3934-5p,hsa-miR-4700-5p,hsa-miR-4298,hsa-miR-23a-3p,hsa-miR-8060,hsa-miR-6742-5p,hsa-miR-483-5p,hsa-miR-15b-5p,hsa-miR-3137,hsa-miR-3151-5p,hsa-miR-4538,hsa-miR-320d,hsa-miR-6748-5p,hsa-miR-3617-5p,hsa-miR-6760-5p,hsa-miR-1343-3p,hsa-miR-4652-5p,hsa-miR-3605-5p,hsa-miR-25-3p,hsa-miR-4436b-3p,hsa-miR-320c,hsa-miR-4300,hsa-miR-140-3p,hsa-miR-4259,hsa-miR-221-3p,hsa-miR-423-3p,hsa-miR-185-5p,hsa-miR-15a-5p,hsa-miR-505-5p,hsa-miR-6728-5p,hsa-miR-222-3p,hsa-miR-4690-5p,hsa-miR-22-3p,hsa-miR-1247-3p,hsa-miR-126-3p,breast cancer
1876422,7.826695,9.315201,6.367992,14.32252,9.210176,7.909871,11.83945,10.2466,5.91683,9.182519,11.57599,6.28082,9.406229,9.835034,7.529805,6.650546,10.92472,5.573895,5.764355,7.624647,9.89968,7.169341,4.972362,5.320545,11.31343,5.497998,3.582417,5.83546,3.582417,3.582417,6.169986,8.282552,3.582417,7.479268,5.001035,9.827944,10.17184,9.510357,7.926854,5.615549,7.627027,3.582417,5.863466,3.975536,9.252629,4.63724,3.582417,3.582417,3.582417,4.951156,3.582417,6.623232,3.582417,13.05586,4.189641,3.582417,11.70277,3.582417,6.150068,4.896725,3.582417,9.070958,3.582417,3.582417,7.775099,3.582417,3.582417,7.199393,3.582417,3.698235,5.674643,6.062207,4.035541,3.582417,5.351907,3.582417,3.582417,4.198028,4.315975,4.112771,6.242466,3.929103,3.582417,3.582417,3.582417,3.582417,3.582417,3.582417,3.582417,3.582417,3.582417,4.234703,3.582417,4.704361,3.582417,3.582417,7.154765,3.582417,6.801705,3.582417,1
1876425,8.651167,9.051309,6.796376,13.71886,9.09567,8.22059,12.71636,9.680874,6.163979,9.372245,11.52432,7.142961,9.674661,9.482056,8.232529,9.25463,11.40472,5.779784,7.163794,7.315784,10.72532,6.996738,4.981798,5.869359,11.41315,6.456288,4.625125,6.332708,4.625125,4.625125,6.80784,8.912012,4.625125,6.919771,5.898724,10.67681,10.13916,9.381266,7.986408,7.831845,7.114297,4.625125,5.494138,4.625125,9.769226,4.625125,4.625125,4.625125,4.625125,5.151683,5.484043,6.548205,4.625125,13.71444,4.789193,4.755992,11.7302,4.625125,6.903693,4.625125,6.144248,9.573069,4.625125,5.982054,8.271793,5.586442,4.625125,8.072344,4.734532,4.625125,6.394316,7.225179,4.625125,4.625125,5.970888,4.625125,5.415082,4.839106,4.956849,4.625125,6.87229,4.625125,5.721526,4.625125,4.625125,4.625125,4.625125,4.625125,4.625125,4.625125,5.269758,4.625125,4.625125,4.625125,4.625125,4.625125,7.451211,4.625125,6.838446,4.625125,1
1876427,9.11246,8.549548,7.190443,13.31739,9.162703,8.13832,12.60987,9.116076,7.157032,9.146692,11.68525,7.135191,9.40736,9.284048,7.48574,6.383866,11.58048,5.48984,6.595322,7.62071,10.8988,7.246783,5.692242,5.789833,11.42711,5.526016,4.359434,4.359434,4.359434,4.359434,5.902624,8.459699,4.359434,7.607823,6.412592,10.49402,10.40069,9.209786,7.524302,8.241818,6.950593,4.359434,5.786696,4.359434,9.866508,4.359434,4.359434,4.359434,4.359434,5.234739,5.306889,6.482221,4.359434,13.7509,4.359434,4.359434,12.08199,4.359434,6.103473,4.799557,5.162806,8.590204,4.359434,4.359434,7.895773,5.032458,5.23011,7.067797,4.359434,4.359434,5.613167,6.825383,4.359434,4.359434,6.479845,4.359434,4.359434,5.259191,7.009279,4.359434,6.526051,4.359434,4.359434,4.359434,4.359434,4.359434,4.359434,4.359434,5.267047,4.359434,5.418115,4.359434,4.359434,4.359434,4.359434,4.359434,6.634161,4.359434,6.894702,4.359434,1
1876428,9.435894,9.556254,7.449193,14.16441,9.247772,8.091199,12.78285,9.899,6.950449,9.219628,11.56322,7.637816,9.814656,9.500597,7.653255,7.349282,11.22188,5.249074,7.484458,7.812534,10.77719,7.648729,6.224585,5.249074,11.35186,7.288278,5.249074,5.643388,5.249074,5.847174,7.112166,8.577226,5.249074,6.990635,5.908572,10.58817,10.01363,9.266499,7.677432,7.072456,7.403837,5.249074,6.890171,5.249074,9.263946,5.249074,5.249074,5.249074,5.249074,5.967843,5.249074,7.523751,5.249074,14.03565,6.169147,5.249074,11.53179,5.249074,7.28905,5.249074,5.249074,9.244727,5.249074,5.249074,7.867959,5.249074,5.249074,7.834055,5.249074,5.249074,7.026914,7.153183,5.249074,5.249074,6.666159,5.249074,5.249074,5.249074,5.249074,5.249074,6.753559,5.249074,5.481161,5.356565,5.249074,5.249074,5.249074,5.249074,5.249074,5.249074,6.362895,5.249074,5.249074,5.623564,5.249074,5.249074,6.86469,5.249074,7.179163,5.383349,1
1876429,8.458979,8.897826,7.310657,13.47416,9.067359,7.822359,12.17858,9.646892,6.777309,8.941297,11.46905,7.30409,9.44589,9.475896,7.406001,6.572012,10.91225,4.900198,5.46495,7.922493,10.2889,7.302899,5.269065,4.900198,11.71793,5.941048,5.930891,5.643882,4.900198,4.900198,6.45507,8.459527,4.900198,7.72467,4.900198,10.06068,10.41739,9.523072,7.924818,4.900198,6.801843,6.13866,4.900198,6.078423,9.610331,4.900198,7.773049,4.900198,4.900198,4.900198,4.900198,7.238642,4.900198,13.48168,4.900198,4.900198,11.92685,4.900198,6.943746,4.900198,6.064599,8.849014,5.003229,4.900198,7.206284,4.900198,4.900198,7.126389,4.900198,4.900198,6.228347,7.729619,5.927429,4.900198,5.95753,4.900198,4.900198,4.900198,4.900198,4.900198,6.894552,4.900198,4.900198,4.900198,4.900198,4.900198,5.949875,4.900198,4.900198,4.900198,4.900198,5.24888,4.900198,4.900198,4.900198,4.900198,7.319453,4.900198,6.844569,4.900198,1
1876430,8.62834,8.987145,6.677789,13.39477,9.119116,8.459085,13.03032,9.101669,6.84856,9.276014,11.61792,6.462427,9.486643,9.575501,7.934435,7.384927,11.26322,6.53327,6.520103,7.736795,10.2699,8.194096,5.648448,6.321467,12.1352,5.767601,4.885737,6.383631,4.885737,4.885737,6.544771,8.918372,5.00032,7.289967,5.456355,10.06361,10.5575,9.746377,8.527939,5.123886,7.704919,5.469916,6.011527,4.885737,10.88945,5.741106,4.885737,4.885737,4.885737,4.885737,4.885737,6.43505,4.885737,13.37835,4.885737,4.885737,11.84442,4.885737,6.347165,6.401226,5.305252,9.12324,4.885737,6.53517,7.735546,4.885737,5.39962,6.899849,4.885737,4.885737,4.998734,5.849384,4.885737,4.885737,4.885737,5.146431,4.885737,5.55448,4.885737,5.96484,6.91066,5.302938,4.885737,4.885737,6.024,4.885737,4.885737,4.885737,4.885737,5.014098,4.885737,5.38285,4.885737,4.885737,4.885737,4.885737,7.428623,4.885737,7.347972,4.885737,1
1876431,8.92551,8.95489,7.692006,13.68114,9.258071,8.388326,13.16057,9.884966,6.716098,9.086298,11.27663,7.123754,9.710924,9.515924,8.130558,7.179017,11.2784,6.907492,7.015143,7.657492,11.3002,7.562632,5.602332,6.009426,11.28449,6.808817,5.00992,7.716546,6.83781,4.858315,7.273534,8.967578,4.858315,6.674643,7.325998,11.1594,9.882227,9.177098,7.354736,10.30581,7.070906,5.534374,6.08268,6.243883,10.19914,4.858315,4.858315,4.858315,4.858315,5.352202,5.242754,6.726106,4.858315,13.42728,4.858315,4.858315,11.34557,4.858315,6.705547,6.470375,4.858315,9.15295,5.031593,4.858315,7.828892,5.185905,4.858315,7.662834,6.218009,4.858315,6.109984,6.882012,4.858315,4.858315,6.44156,4.858315,4.858315,4.858315,5.687685,4.858315,6.844098,4.858315,6.033146,4.858315,4.858315,4.858315,4.858315,4.858315,4.858315,4.858315,5.064257,5.217314,4.858315,4.858315,4.858315,4.858315,6.819981,5.061505,7.068601,4.858315,1
1876432,8.828325,9.247807,7.138846,14.01279,9.262071,7.714129,11.55853,9.719329,6.097628,9.025363,11.37166,6.50563,9.87314,9.504949,7.490557,6.476739,11.07475,4.765796,6.08762,7.736992,9.720988,6.520375,5.748676,4.561893,11.01156,6.509514,4.51882,5.4516,3.969992,3.969992,6.177142,8.032904,3.969992,6.86649,5.204349,9.954149,9.85939,8.873736,7.311877,6.074224,6.520288,3.969992,5.979478,3.969992,9.195436,5.025543,4.536998,3.969992,3.969992,4.903919,5.113027,6.127535,3.969992,13.96465,4.686546,3.969992,11.28867,3.969992,6.364952,3.969992,5.09877,8.530272,3.969992,3.969992,7.48897,4.47483,3.969992,7.019691,3.969992,3.969992,6.576679,6.164112,3.969992,4.572248,6.421663,3.969992,3.969992,3.969992,3.969992,4.397999,6.243155,3.969992,5.09392,3.969992,3.969992,3.969992,3.969992,3.969992,3.969992,3.969992,6.092542,3.969992,3.969992,3.969992,3.969992,3.969992,6.619621,3.969992,6.269925,3.969992,1
1876433,8.653539,8.289276,7.396927,12.97289,9.168592,8.27291,13.12131,9.431019,8.55323,9.22113,11.49701,6.708343,9.497374,9.506471,7.981446,7.431126,11.56095,6.228855,6.046627,6.951695,10.58491,7.550253,5.170207,6.169464,12.21766,6.106733,5.64707,6.541167,8.497256,6.807253,6.258527,8.77074,6.009074,7.134123,7.12797,10.30028,10.27317,9.496036,8.278741,11.78364,7.279465,4.136631,5.418593,4.491005,11.09404,5.314882,3.709752,3.709752,3.709752,5.90678,4.377736,6.025472,3.709752,13.25403,3.709752,3.709752,11.94921,3.709752,6.263172,7.385329,4.198602,8.816408,3.709752,4.894668,7.522293,5.323817,3.709752,7.62044,4.499386,4.564417,6.092231,6.295188,3.709752,3.709752,6.121191,4.653121,3.709752,5.267386,5.185636,3.709752,6.897239,3.709752,3.824098,3.709752,3.709752,4.315241,3.709752,3.709752,4.914972,3.709752,3.709752,3.709752,3.709752,3.709752,3.709752,3.709752,7.238264,4.136532,7.083378,3.709752,1
1876437,7.976727,8.182042,6.681544,11.48957,8.81449,8.023083,14.3661,9.648237,7.370079,9.088114,11.19693,7.10176,9.14889,9.61805,8.488135,8.002008,11.09756,6.322974,7.399783,6.876021,11.25663,8.610762,6.587926,6.198913,11.69451,7.820816,5.76419,7.099012,6.280653,5.512171,7.238209,9.724701,5.537535,6.876842,7.670381,10.86615,10.20427,9.204664,7.165377,9.873016,7.451656,5.153812,6.406992,5.153812,10.46536,6.957845,5.868847,5.861889,5.153812,6.265496,6.759751,6.677081,5.153812,12.03152,5.153812,5.517039,11.96738,5.153812,7.042844,6.194039,5.153812,9.979075,5.535456,5.153812,8.066036,7.117609,5.153812,8.161922,6.018607,5.153812,5.329066,7.638129,5.153812,5.153812,6.648128,5.153812,5.67757,5.258746,5.153812,5.153812,7.437753,5.153812,5.973876,5.153812,5.153812,6.163451,5.153812,5.153812,5.153812,5.93868,7.039091,5.574846,5.153812,5.153812,5.153812,6.074736,6.881017,6.282147,7.116669,5.153812,1
